                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0378,                  3.059,                  3.242,                 1.3118,                0.01086,                0.79872,                0.12833,                0.06514,                0.00975,                0.67923,                0.09639,                0.05687,                 1.0443,                 2.7207,                 3.0429,                  1.465,              4.287e-05,              4.287e-05,              4.287e-05
                      2,                 1.0841,                 3.1989,                  3.236,                 1.3668,                0.01081,                0.81019,                0.13762,                0.07536,                0.01005,                 0.7209,                0.10204,                 0.0656,                 1.0833,                 2.7452,                 3.0449,                 1.4717,              9.904e-05,              9.904e-05,              9.904e-05
                      3,                0.91165,                 2.4211,                 3.0866,                 1.2326,                0.01041,                0.78086,                 0.2116,                 0.1514,                0.01009,                0.75705,                0.20652,                0.13689,                0.84494,                 2.4504,                  3.047,                 1.2917,             0.00015408,             0.00015408,             0.00015408
                      4,                0.77242,                 1.5744,                 2.6992,                 1.1246,                   0.01,                0.75705,                0.29222,                0.23842,                   0.01,                0.75705,                0.29547,                0.22738,                 0.8272,                 2.7087,                 3.0058,                 1.3179,             0.00020798,             0.00020798,             0.00020798
                      5,                0.75406,                 1.4234,                 2.2673,                 1.1072,                0.01051,                0.83488,                0.34243,                0.25174,                0.01022,                0.82253,                0.33723,                0.25475,                0.82309,                 2.1457,                 2.7952,                 1.2825,             0.00026076,             0.00026076,             0.00026076
                      6,                0.73242,                 1.3075,                 1.9779,                 1.0869,                0.01025,                0.82253,                0.31875,                0.21516,                0.01025,                0.82253,                0.32083,                0.24695,                0.84583,                 2.2923,                 2.8205,                 1.2943,              0.0003124,              0.0003124,              0.0003124
                      7,                 0.7043,                 1.3324,                 1.9549,                 1.0776,                0.43414,                0.22447,                0.35366,                0.22162,                0.43414,                0.22447,                0.36026,                0.25108,                0.91469,                 2.3351,                 2.6318,                 1.3648,             0.00036291,             0.00036291,             0.00036291
                      8,                0.71203,                 1.3245,                 1.7193,                 1.0989,                0.54499,                0.45268,                0.43506,                0.25451,                0.54499,                0.45268,                0.42504,                0.28931,                 1.0401,                 2.7664,                 2.4593,                 1.4839,             0.00041229,             0.00041229,             0.00041229
                      9,                0.66849,                 1.1413,                 1.5109,                 1.0488,                0.38085,                 0.3653,                0.29571,                0.14466,                0.38191,                0.36803,                0.30908,                0.18165,                 1.3729,                 2.9033,                 2.7122,                 1.7935,             0.00046054,             0.00046054,             0.00046054
                     10,                0.64175,                 1.1499,                 1.4913,                 1.0334,                0.42661,                 0.3885,                0.40959,                0.19417,                0.42938,                0.38784,                0.40772,                0.22859,                 1.4751,                 2.4676,                 2.4299,                 1.9192,             0.00050765,             0.00050765,             0.00050765
                     11,                0.67252,                 1.0947,                 1.3796,                 1.0452,                0.35086,                0.32159,                0.31355,                0.18341,                0.35086,                0.32159,                0.30532,                0.16698,                 1.2514,                 3.5749,                 2.3477,                 1.5994,             0.00055364,             0.00055364,             0.00055364
                     12,                0.62069,                 1.0894,                 1.2539,                 1.0266,                0.26354,                0.19631,                0.36007,                0.21756,                0.26203,                 0.1959,                  0.342,                0.21121,                 1.1307,                 3.1989,                 2.3516,                 1.4991,             0.00059849,             0.00059849,             0.00059849
                     13,                0.66627,                 1.2416,                 1.2692,                 1.0546,                0.38329,                0.33917,                0.39975,                0.28097,                0.36332,                0.32152,                0.39548,                0.27341,                 1.1378,                 2.5908,                 2.2596,                 1.5933,             0.00064221,             0.00064221,             0.00064221
                     14,                0.62042,                 1.0545,                 1.2568,                 1.0229,                0.78437,                0.36139,                0.48219,                0.33886,                0.78437,                0.36139,                0.47421,                0.33267,                 1.0559,                 1.9907,                 2.2251,                 1.4097,              0.0006848,              0.0006848,              0.0006848
                     15,                0.64413,                 1.0507,                 1.1791,                 1.0351,                0.74347,                0.42328,                0.58851,                0.45891,                0.74483,                0.42328,                0.56957,                0.44031,                0.93127,                 2.0823,                 2.0283,                  1.253,             0.00072625,             0.00072625,             0.00072625
                     16,                0.64429,                 1.0611,                 1.1927,                 1.0467,                0.68367,                0.28454,                0.40826,                0.27718,                 0.6804,                0.28042,                0.38665,                0.26735,                 1.0952,                 2.5428,                 2.3033,                 1.4452,             0.00076658,             0.00076658,             0.00076658
